tau,n_keep_total,edge_ratio,head_ratio,mlp_ratio,D_val_Full_Balanced,D_val_Circuit_Balanced,D_val_Random_Balanced,D_test_Full_Balanced,D_test_Circuit_Balanced,D_test_Random_Balanced,D_test_Random_Balanced_std,D_val_delta_Balanced,D_test_delta_Balanced,objective_gap_vs_random_D_val,objective_gap_vs_random_D_test,p_D_val_balanced_vs_random,p_D_val_objective_vs_random,p_D_test_balanced_vs_random,p_D_test_objective_vs_random,z_D_test_balanced_vs_random
0.02,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,1.0,0.0625,0.0,1.0,0.125,0.011458333333333333,0.015415258944738271,0.0625,0.11354166666666667,0.1253125,0.18666666666666662,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,7.365537424554398
0.01,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,1.0,0.0625,0.0015625,1.0,0.125,0.008333333333333333,0.013819269959814166,0.0609375,0.11666666666666667,0.12343749999999998,0.1875,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,8.442317648177381
0.005,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,1.0,0.0625,0.0015625,1.0,0.125,0.007291666666666667,0.013621559198564604,0.0609375,0.11770833333333333,0.12062499999999998,0.18666666666666665,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,8.64132597579116
