tau,#Edge,edge_ratio,D_val Original(G),D_val Circuit(C),D_test Original(G),D_test Random,D_test Circuit(C),D_test_delta_Balanced,objective_gap_vs_random_D_test,p_D_test_balanced_vs_random
0.02,60,0.12605042016806722,1.0,0.0625,1.0,0.011458333333333333,0.125,0.11354166666666667,0.18666666666666662,0.047619047619047616
0.01,60,0.12605042016806722,1.0,0.0625,1.0,0.008333333333333333,0.125,0.11666666666666667,0.1875,0.047619047619047616
0.005,60,0.12605042016806722,1.0,0.0625,1.0,0.007291666666666667,0.125,0.11770833333333333,0.18666666666666665,0.047619047619047616
