tau,split,setting,ToolCall@1_clean,Reject@1_corr,Balanced,ToolCall@1_clean_ci_low,ToolCall@1_clean_ci_high,Reject@1_corr_ci_low,Reject@1_corr_ci_high,Balanced_ci_low,Balanced_ci_high,n_samples,filter,n_keep_heads,n_keep_mlps,n_keep_total,edge_ratio,head_ratio,mlp_ratio,non_circuit_retain,random_trials,objective_gap_vs_random,delta_balanced_vs_random,delta_clean_vs_random,delta_reject_vs_random,p_balanced_vs_random,p_objective_vs_random,Balanced_std,ToolCall@1_clean_std,Reject@1_corr_std
0.02,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.02,D_val,Circuit-only,0.65625,0.3125,0.0625,0.4831108797896222,0.7958956207556682,0.17952541633609737,0.48566678300955407,0.017310567031640967,0.2014712314415458,32,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,0.1253125,0.0625,0.19687500000000002,0.1171875,0.047619047619047616,0.047619047619047616,,,
0.02,D_val,Random same-size,0.459375,0.1953125,0.0,0.34375,0.57890625,0.15625,0.21875,0.0,0.0,32,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,,,,,,,0.0,0.0713294513157083,0.02773162398327945
0.02,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.02,D_test,Circuit-only,0.6666666666666666,0.4375,0.125,0.5254010970594798,0.7832321930518142,0.30701269040654244,0.5772498258017222,0.058570514385719794,0.24700458286386834,48,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,0.18666666666666662,0.11354166666666667,0.14479166666666665,0.22083333333333335,0.047619047619047616,0.047619047619047616,,,
0.02,D_test,Random same-size,0.521875,0.21666666666666665,0.011458333333333333,0.38385416666666666,0.6369791666666665,0.06145833333333333,0.3333333333333333,0.0,0.041666666666666664,48,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,,,,,,,0.015415258944738271,0.07079502640644249,0.08824091076894738
0.01,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.01,D_val,Circuit-only,0.65625,0.3125,0.0625,0.4831108797896222,0.7958956207556682,0.17952541633609737,0.48566678300955407,0.017310567031640967,0.2014712314415458,32,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,0.12343749999999998,0.0609375,0.19374999999999998,0.11875,0.047619047619047616,0.047619047619047616,,,
0.01,D_val,Random same-size,0.4625,0.19375,0.0015625,0.34375,0.64140625,0.13984375,0.23515624999999996,0.0,0.016406249999999956,32,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,,,,,,,0.006810779599282301,0.0864897031443628,0.032173844190584375
0.01,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.01,D_test,Circuit-only,0.6666666666666666,0.4375,0.125,0.5254010970594798,0.7832321930518142,0.30701269040654244,0.5772498258017222,0.058570514385719794,0.24700458286386834,48,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,0.1875,0.11666666666666667,0.14270833333333321,0.2114583333333334,0.047619047619047616,0.047619047619047616,,,
0.01,D_test,Random same-size,0.5239583333333334,0.2260416666666666,0.008333333333333333,0.40572916666666664,0.6666666666666666,0.07239583333333333,0.3333333333333333,0.0,0.041666666666666664,48,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,,,,,,,0.013819269959814166,0.0780277172085521,0.08156323169105605
0.005,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.005,D_val,Circuit-only,0.65625,0.3125,0.0625,0.4831108797896222,0.7958956207556682,0.17952541633609737,0.48566678300955407,0.017310567031640967,0.2014712314415458,32,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,0.12062499999999998,0.0609375,0.184375,0.11406250000000001,0.047619047619047616,0.047619047619047616,,,
0.005,D_val,Random same-size,0.471875,0.1984375,0.0015625,0.34375,0.64140625,0.13984375,0.25,0.0,0.016406249999999956,32,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,,,,,,,0.006810779599282301,0.08082823222735977,0.03318243840874265
0.005,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.005,D_test,Circuit-only,0.6666666666666666,0.4375,0.125,0.5254010970594798,0.7832321930518142,0.30701269040654244,0.5772498258017222,0.058570514385719794,0.24700458286386834,48,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,0.18666666666666665,0.11770833333333333,0.13541666666666663,0.20937499999999995,0.047619047619047616,0.047619047619047616,,,
0.005,D_test,Random same-size,0.53125,0.22812500000000005,0.007291666666666667,0.40572916666666664,0.6666666666666666,0.0921875,0.3442708333333333,0.0,0.041666666666666664,48,"balanced(clean tool, corr non-tool)",43,17,60,0.12605042016806722,0.09598214285714286,0.6071428571428571,0.7,20,,,,,,,0.013621559198564604,0.07554776818528644,0.07467376965842826
