tau,n_keep_total,edge_ratio,head_ratio,mlp_ratio,D_val_Full_Balanced,D_val_Circuit_Balanced,D_val_Random_Balanced,D_test_Full_Balanced,D_test_Circuit_Balanced,D_test_Random_Balanced,D_test_Random_Balanced_std,D_val_delta_Balanced,D_test_delta_Balanced,objective_gap_vs_random_D_val,objective_gap_vs_random_D_test,p_D_val_balanced_vs_random,p_D_val_objective_vs_random,p_D_test_balanced_vs_random,p_D_test_objective_vs_random,z_D_test_balanced_vs_random
0.02,40,0.08403361344537816,0.05803571428571429,0.5,1.0,0.21875,0.003125,1.0,0.20833333333333334,0.005208333333333333,0.012968645414571595,0.215625,0.203125,0.3253125,0.29500000000000004,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,15.66277691359873
0.01,40,0.08403361344537816,0.05803571428571429,0.5,1.0,0.21875,0.0015625,1.0,0.20833333333333334,0.007291666666666666,0.013621559198564604,0.2171875,0.20104166666666667,0.32500000000000007,0.290625,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,14.759078879006141
0.005,40,0.08403361344537816,0.05803571428571429,0.5,1.0,0.21875,0.0015625,1.0,0.20833333333333334,0.005208333333333333,0.011170630515378758,0.2171875,0.203125,0.32875000000000004,0.298125,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,18.18384376068612
