tau,#Edge,edge_ratio,D_val Original(G),D_val Circuit(C),D_test Original(G),D_test Random,D_test Circuit(C),D_test_delta_Balanced,objective_gap_vs_random_D_test,p_D_test_balanced_vs_random
0.02,40,0.08403361344537816,1.0,0.21875,1.0,0.005208333333333333,0.20833333333333334,0.203125,0.29500000000000004,0.047619047619047616
0.01,40,0.08403361344537816,1.0,0.21875,1.0,0.007291666666666666,0.20833333333333334,0.20104166666666667,0.290625,0.047619047619047616
0.005,40,0.08403361344537816,1.0,0.21875,1.0,0.005208333333333333,0.20833333333333334,0.203125,0.298125,0.047619047619047616
