edge,type,layer,head,S_clean,S_corr,DeltaS,AP,CT,keep
L0H0->Output,head,0,0,0.011750894249416888,-0.27026044577360153,0.2820113400230184,0.0810546875,0.0791015625,0
L0H1->Output,head,0,1,0.03466131299501285,0.5148221179842949,-0.48016080498928204,0.08544921875,0.083984375,0
L0H2->Output,head,0,2,-0.07505324567318894,0.8419128581881523,-0.9169661038613413,0.0927734375,0.091796875,0
L0H3->Output,head,0,3,6.017442781478167,8.558257415890694,-2.540814634412527,0.0830078125,0.087890625,1
L0H4->Output,head,0,4,0.07954482163768262,0.14914725720882416,-0.06960243557114154,0.08447265625,0.0849609375,0
L0H5->Output,head,0,5,0.06914520423742943,0.5312659032642841,-0.4621206990268547,0.0966796875,0.07275390625,0
L0H6->Output,head,0,6,-0.16211131981981453,-2.7334423884749413,2.5713310686551267,0.1826171875,0.17041015625,1
L0H7->Output,head,0,7,-0.07441555225523189,-0.02784181758761406,-0.04657373466761783,0.07421875,0.08203125,0
L0H8->Output,head,0,8,-0.12451005449111108,-0.5295775905251503,0.4050675360340392,0.09423828125,0.0888671875,0
L0H9->Output,head,0,9,-0.20371938864991535,-2.300199717283249,2.0964803286333336,0.07470703125,0.0859375,0
L0H10->Output,head,0,10,-0.019252099678851664,-0.9609997030347586,0.9417476033559069,0.091796875,0.07861328125,0
L0H11->Output,head,0,11,-0.10986002182471566,-1.609088245779276,1.4992282239545602,0.09228515625,0.08349609375,0
L0H12->Output,head,0,12,-0.13044204651669133,-1.6317663844674826,1.5013243379507912,0.0810546875,0.0732421875,0
L0H13->Output,head,0,13,-0.07668953943357337,-1.0466081406921148,0.9699186012585415,0.06787109375,0.07275390625,0
L0H14->Output,head,0,14,-0.04498392005916685,0.1525980941951275,-0.19758201425429434,0.08837890625,0.0830078125,0
L0H15->Output,head,0,15,-0.0034556984901428223,-0.06858108192682266,0.06512538343667984,0.07861328125,0.09375,0
MLP0->Output,mlp,0,-1,-0.04611226133420132,1.223412262275815,-1.2695245236100163,0.14599609375,0.14599609375,0
L1H0->Output,head,1,0,-0.016716158454073593,-0.12131320312619209,0.1045970446721185,0.0859375,0.095703125,0
L1H1->Output,head,1,1,0.05178169993450865,0.4053487218916416,-0.35356702195713297,0.083984375,0.07421875,0
L1H2->Output,head,1,2,0.031868166755884886,0.25704409554600716,-0.22517592879012227,0.09228515625,0.0810546875,0
L1H3->Output,head,1,3,0.12877628329442814,0.7493672035634518,-0.6205909202690236,0.08740234375,0.08251953125,0
L1H4->Output,head,1,4,0.050445273431250826,0.056318506598472595,-0.00587323316722177,0.10791015625,0.11083984375,0
L1H5->Output,head,1,5,-0.02763156287255697,-0.25231991708278656,0.2246883542102296,0.10107421875,0.10986328125,0
L1H6->Output,head,1,6,0.013362916943151504,0.2073367014527321,-0.19397378450958058,0.07568359375,0.076171875,0
L1H7->Output,head,1,7,0.06980570690939203,0.32164952903985977,-0.25184382213046774,0.08935546875,0.0869140625,0
L1H8->Output,head,1,8,0.01482879402465187,-0.09044500812888145,0.10527380215353332,0.099609375,0.09619140625,0
L1H9->Output,head,1,9,0.17828904851921834,1.4391357973217964,-1.260846748802578,0.1015625,0.1005859375,0
L1H10->Output,head,1,10,-0.06632857189106289,-0.04987560957670212,-0.016452962314360775,0.08740234375,0.08837890625,0
L1H11->Output,head,1,11,-0.10866484793950804,-0.8793977089226246,0.7707328609831166,0.08740234375,0.08349609375,0
L1H12->Output,head,1,12,0.03149889752967283,0.408988144248724,-0.37748924671905115,0.056640625,0.05322265625,0
L1H13->Output,head,1,13,-0.09510932315606624,-0.7763404436409473,0.6812311204848811,0.146484375,0.14404296875,0
L1H14->Output,head,1,14,-0.1083145736483857,-1.6517293490469456,1.5434147753985599,0.1015625,0.0869140625,0
L1H15->Output,head,1,15,-0.10165448622137774,-0.390319149941206,0.28866466371982824,0.07568359375,0.08642578125,0
MLP1->Output,mlp,1,-1,-0.21345185583049897,-3.5380489551462233,3.3245970993157243,-0.060546875,-0.060546875,1
L2H0->Output,head,2,0,-0.09954717950313352,-0.873004324734211,0.7734571452310774,0.07080078125,0.06884765625,0
L2H1->Output,head,2,1,0.21266154691693373,0.9286233484745026,-0.7159618015575688,0.0810546875,0.0771484375,0
L2H2->Output,head,2,2,-0.06752722768578678,-0.9758094046264887,0.9082821769407019,0.083984375,0.06787109375,0
L2H3->Output,head,2,3,-0.04495753830997273,-0.20823844149708748,0.16328090318711475,0.1083984375,0.09375,0
L2H4->Output,head,2,4,-0.04524802650848869,-0.6978576127439737,0.652609586235485,0.04150390625,0.04736328125,0
L2H5->Output,head,2,5,0.04998381272889674,-0.024608522653579712,0.07459233538247645,0.0732421875,0.0771484375,0
L2H6->Output,head,2,6,0.043716915330151096,0.9107976891100407,-0.8670807737798896,0.064453125,0.07275390625,0
