tau,#Edge,edge_ratio,D_val Original(G),D_val Circuit(C),D_test Original(G),D_test Random,D_test Circuit(C),D_test_delta_Balanced,objective_gap_vs_random_D_test,p_D_test_balanced_vs_random
0.02,80,0.16806722689075632,1.0,0.28125,1.0,0.018333333333333333,0.25,0.23166666666666666,0.32283333333333336,0.0196078431372549
0.01,80,0.16806722689075632,1.0,0.28125,1.0,0.019166666666666665,0.25,0.23083333333333333,0.3200833333333333,0.0196078431372549
0.005,80,0.16806722689075632,1.0,0.28125,1.0,0.013749999999999998,0.25,0.23625000000000002,0.32691666666666663,0.0196078431372549
