tau,#Edge,edge_ratio,D_val Original(G),D_val Circuit(C),D_test Original(G),D_test Random,D_test Circuit(C),D_test_delta_Balanced,objective_gap_vs_random_D_test,p_D_test_balanced_vs_random
0.02,120,0.25210084033613445,1.0,0.03125,1.0,0.06458333333333333,0.0,-0.06458333333333333,-0.06645833333333331,1.0
0.01,120,0.25210084033613445,1.0,0.03125,1.0,0.0375,0.0,-0.0375,-0.032083333333333325,1.0
0.005,120,0.25210084033613445,1.0,0.03125,1.0,0.04583333333333334,0.0,-0.04583333333333334,-0.04374999999999998,1.0
