tau,n_keep_total,edge_ratio,head_ratio,mlp_ratio,D_val_Full_Balanced,D_val_Circuit_Balanced,D_val_Random_Balanced,D_test_Full_Balanced,D_test_Circuit_Balanced,D_test_Random_Balanced,D_test_Random_Balanced_std,D_val_delta_Balanced,D_test_delta_Balanced,objective_gap_vs_random_D_val,objective_gap_vs_random_D_test,p_D_val_balanced_vs_random,p_D_val_objective_vs_random,p_D_test_balanced_vs_random,p_D_test_objective_vs_random,z_D_test_balanced_vs_random
0.02,120,0.25210084033613445,0.21875,0.7857142857142857,1.0,0.03125,0.05625,1.0,0.0,0.06458333333333333,0.10075668574453123,-0.025,-0.06458333333333333,-0.020937500000000026,-0.06645833333333331,0.38095238095238093,0.38095238095238093,1.0,0.6190476190476191,-0.640983105548792
0.01,120,0.25210084033613445,0.21875,0.7857142857142857,1.0,0.03125,0.03125,1.0,0.0,0.0375,0.07471008782100462,0.0,-0.0375,0.010937499999999989,-0.032083333333333325,0.3333333333333333,0.2857142857142857,1.0,0.5714285714285714,-0.5019402478798444
0.005,120,0.25210084033613445,0.21875,0.7857142857142857,1.0,0.03125,0.0421875,1.0,0.0,0.04583333333333334,0.08604948511693075,-0.010937500000000003,-0.04583333333333334,-0.0053125000000000255,-0.04374999999999998,0.3333333333333333,0.2857142857142857,1.0,0.5714285714285714,-0.532639251368575
