tau,split,setting,ToolCall@1_clean,Reject@1_corr,Balanced,ToolCall@1_clean_ci_low,ToolCall@1_clean_ci_high,Reject@1_corr_ci_low,Reject@1_corr_ci_high,Balanced_ci_low,Balanced_ci_high,n_samples,filter,n_keep_heads,n_keep_mlps,n_keep_total,edge_ratio,head_ratio,mlp_ratio,non_circuit_retain,random_trials,objective_gap_vs_random,delta_balanced_vs_random,delta_clean_vs_random,delta_reject_vs_random,p_balanced_vs_random,p_objective_vs_random,Balanced_std,ToolCall@1_clean_std,Reject@1_corr_std
0.02,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.02,D_val,Circuit-only,0.625,0.25,0.03125,0.45254407353077447,0.770661126905458,0.1325240091850904,0.4210655899424448,0.005537860164003122,0.15744263820012558,32,"balanced(clean tool, corr non-tool)",98,22,120,0.25210084033613445,0.21875,0.7857142857142857,0.7,20,-0.020937500000000026,-0.025,0.029687499999999978,-0.009375000000000022,0.38095238095238093,0.38095238095238093,,,
0.02,D_val,Random same-size,0.5953125,0.259375,0.05625,0.40625,0.79765625,0.15625,0.54765625,0.0,0.33046874999999987,32,"balanced(clean tool, corr non-tool)",98,22,120,0.25210084033613445,0.21875,0.7857142857142857,0.7,20,,,,,,,0.1034559084827928,0.13494609745654004,0.11228277639513551
0.02,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.02,D_test,Circuit-only,0.6041666666666666,0.2916666666666667,0.0,0.4631040849254725,0.7297917213940862,0.18241578926516536,0.431792598095717,6.938893903907228e-18,0.07410012966611748,48,"balanced(clean tool, corr non-tool)",98,22,120,0.25210084033613445,0.21875,0.7857142857142857,0.7,20,-0.06645833333333331,-0.06458333333333333,-0.0010416666666666075,-0.00833333333333336,1.0,0.6190476190476191,,,
0.02,D_test,Random same-size,0.6052083333333332,0.30000000000000004,0.06458333333333333,0.4046875,0.8135416666666666,0.10416666666666667,0.5328124999999999,0.0,0.3036458333333332,48,"balanced(clean tool, corr non-tool)",98,22,120,0.25210084033613445,0.21875,0.7857142857142857,0.7,20,,,,,,,0.10075668574453123,0.12138433995417659,0.11829224638815325
0.01,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.01,D_val,Circuit-only,0.625,0.25,0.03125,0.45254407353077447,0.770661126905458,0.1325240091850904,0.4210655899424448,0.005537860164003122,0.15744263820012558,32,"balanced(clean tool, corr non-tool)",98,22,120,0.25210084033613445,0.21875,0.7857142857142857,0.7,20,0.010937499999999989,0.0,0.03749999999999998,0.017187499999999994,0.3333333333333333,0.2857142857142857,,,
0.01,D_val,Random same-size,0.5875,0.2328125,0.03125,0.42109375,0.79765625,0.15625,0.4585937499999997,0.0,0.2414062499999996,32,"balanced(clean tool, corr non-tool)",98,22,120,0.25210084033613445,0.21875,0.7857142857142857,0.7,20,,,,,,,0.08267972847076846,0.1204645954212274,0.09082682268333514
0.01,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
