tau,n_keep_total,edge_ratio,head_ratio,mlp_ratio,D_val_Full_Balanced,D_val_Circuit_Balanced,D_val_Random_Balanced,D_test_Full_Balanced,D_test_Circuit_Balanced,D_test_Random_Balanced,D_test_Random_Balanced_std,D_val_delta_Balanced,D_test_delta_Balanced,objective_gap_vs_random_D_val,objective_gap_vs_random_D_test,p_D_val_balanced_vs_random,p_D_val_objective_vs_random,p_D_test_balanced_vs_random,p_D_test_objective_vs_random,z_D_test_balanced_vs_random
0.02,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,1.0,0.28125,0.010625,1.0,0.25,0.018333333333333333,0.03718385252887184,0.270625,0.23166666666666666,0.38437499999999997,0.32283333333333336,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,6.230302965159039
0.01,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,1.0,0.28125,0.0125,1.0,0.25,0.019166666666666665,0.037230513172814464,0.26875,0.23083333333333333,0.380125,0.3200833333333333,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,6.200111512346456
0.005,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,1.0,0.28125,0.008125,1.0,0.25,0.013749999999999998,0.02934765275490055,0.273125,0.23625000000000002,0.38637499999999997,0.32691666666666663,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,8.050047544621787
