max_circuit_edges,best_tau,split,n_samples,edge_ratio,circuit_balanced,random_balanced,delta_balanced,circuit_clean,random_clean,delta_clean,circuit_reject,random_reject,delta_reject,objective_gap,p_balanced_vs_random,p_objective_vs_random,full_balanced
40,0.005,D_test,48,0.0840336134453781,0.2083333333333333,0.0052083333333333,0.203125,0.7083333333333334,0.49375,0.2145833333333333,0.4791666666666667,0.21875,0.2604166666666667,0.298125,0.0476190476190476,0.0476190476190476,1.0
60,0.02,D_test,48,0.1260504201680672,0.125,0.0114583333333333,0.1135416666666666,0.6666666666666666,0.521875,0.1447916666666666,0.4375,0.2166666666666666,0.2208333333333333,0.1866666666666666,0.0476190476190476,0.0476190476190476,1.0
80,0.02,D_test,48,0.1680672268907563,0.25,0.0135416666666666,0.2364583333333333,0.75,0.5395833333333334,0.2104166666666665,0.5,0.2489583333333334,0.2510416666666666,0.32875,0.0476190476190476,0.0476190476190476,1.0
120,0.01,D_test,48,0.2521008403361344,0.0,0.0375,-0.0375,0.6041666666666666,0.6010416666666666,0.003125,0.2916666666666667,0.2677083333333334,0.0239583333333333,-0.0320833333333333,1.0,0.5714285714285714,1.0
