tau,#Edge,edge_ratio,D_val Original(G),D_val Circuit(C),D_test Original(G),D_test Random,D_test Circuit(C),D_test_delta_Balanced,objective_gap_vs_random_D_test,p_D_test_balanced_vs_random
0.02,80,0.16806722689075632,1.0,0.28125,1.0,0.013541666666666665,0.25,0.23645833333333333,0.32875,0.047619047619047616
0.01,80,0.16806722689075632,1.0,0.28125,1.0,0.016666666666666666,0.25,0.23333333333333334,0.32145833333333335,0.047619047619047616
0.005,80,0.16806722689075632,1.0,0.28125,1.0,0.013541666666666665,0.25,0.23645833333333333,0.3225,0.047619047619047616
