tau,split,setting,ToolCall@1_clean,Reject@1_corr,Balanced,ToolCall@1_clean_ci_low,ToolCall@1_clean_ci_high,Reject@1_corr_ci_low,Reject@1_corr_ci_high,Balanced_ci_low,Balanced_ci_high,n_samples,filter,n_keep_heads,n_keep_mlps,n_keep_total,edge_ratio,head_ratio,mlp_ratio,non_circuit_retain,random_trials,objective_gap_vs_random,delta_balanced_vs_random,delta_clean_vs_random,delta_reject_vs_random,p_balanced_vs_random,p_objective_vs_random,Balanced_std,ToolCall@1_clean_std,Reject@1_corr_std
0.02,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.02,D_val,Circuit-only,0.8125,0.46875,0.28125,0.6469084479862404,0.9111045531043405,0.30869387108068835,0.6355048288102536,0.15564580497742764,0.45374509425916565,32,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,0.3915625,0.275,0.321875,0.2609375,0.047619047619047616,0.047619047619047616,,,
0.02,D_val,Random same-size,0.490625,0.2078125,0.00625,0.38984375,0.67265625,0.15625,0.28125,0.0,0.047656249999999956,32,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,,,,,,,0.015934435979977454,0.0815499271918743,0.03733688482921412
0.02,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.02,D_test,Circuit-only,0.75,0.5,0.25,0.6121562719049204,0.8507936632620209,0.36389330502679385,0.6361066949732062,0.1492063367379791,0.3878437280950796,48,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,0.32875,0.23645833333333333,0.21041666666666659,0.2510416666666666,0.047619047619047616,0.047619047619047616,,,
0.02,D_test,Random same-size,0.5395833333333334,0.2489583333333334,0.013541666666666665,0.4255208333333333,0.6875,0.12395833333333334,0.3651041666666667,0.0,0.06354166666666661,48,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,,,,,,,0.02111784888824301,0.08252209300140984,0.06829870819910627
0.01,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.01,D_val,Circuit-only,0.8125,0.46875,0.28125,0.6469084479862404,0.9111045531043405,0.30869387108068835,0.6355048288102536,0.15564580497742764,0.45374509425916565,32,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,0.38093749999999993,0.2703125,0.290625,0.2625,0.047619047619047616,0.047619047619047616,,,
0.01,D_val,Random same-size,0.521875,0.20625,0.0109375,0.42109375,0.70390625,0.15625,0.26640624999999996,0.0,0.0625,32,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,,,,,,,0.020432338797846908,0.09936320684740403,0.03479852726768763
0.01,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.01,D_test,Circuit-only,0.75,0.5,0.25,0.6121562719049204,0.8507936632620209,0.36389330502679385,0.6361066949732062,0.1492063367379791,0.3878437280950796,48,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,0.32145833333333335,0.23333333333333334,0.19270833333333337,0.24791666666666667,0.047619047619047616,0.047619047619047616,,,
0.01,D_test,Random same-size,0.5572916666666666,0.2520833333333333,0.016666666666666666,0.4583333333333333,0.6875,0.12395833333333334,0.35520833333333324,0.0,0.08333333333333333,48,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,,,,,,,0.02602082499332666,0.08484948888407573,0.06715317275535915
0.005,D_val,Full model,1.0,1.0,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,0.8928208017449293,1.0,32,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.005,D_val,Circuit-only,0.8125,0.46875,0.28125,0.6469084479862404,0.9111045531043405,0.30869387108068835,0.6355048288102536,0.15564580497742764,0.45374509425916565,32,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,0.38218749999999996,0.271875,0.2953125,0.25625,0.047619047619047616,0.047619047619047616,,,
0.005,D_val,Random same-size,0.5171875,0.2125,0.009375,0.3734375,0.70390625,0.15625,0.26640624999999996,0.0,0.0625,32,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,,,,,,,0.020009763241977653,0.09954731522622796,0.030618621784789725
0.005,D_test,Full model,1.0,1.0,1.0,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,0.9258998703338824,0.9999999999999999,48,"balanced(clean tool, corr non-tool)",448,28,476,1.0,1.0,1.0,0.7,20,,,,,,,,,
0.005,D_test,Circuit-only,0.75,0.5,0.25,0.6121562719049204,0.8507936632620209,0.36389330502679385,0.6361066949732062,0.1492063367379791,0.3878437280950796,48,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,0.3225,0.23645833333333333,0.18541666666666667,0.24479166666666669,0.047619047619047616,0.047619047619047616,,,
0.005,D_test,Random same-size,0.5645833333333333,0.2552083333333333,0.013541666666666665,0.4583333333333333,0.6875,0.14375,0.3333333333333333,0.0,0.06354166666666661,48,"balanced(clean tool, corr non-tool)",62,18,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,0.7,20,,,,,,,0.021117848888243012,0.07984903290307,0.05850977779159841
