tau,n_keep_total,edge_ratio,head_ratio,mlp_ratio,D_val_Full_Balanced,D_val_Circuit_Balanced,D_val_Random_Balanced,D_test_Full_Balanced,D_test_Circuit_Balanced,D_test_Random_Balanced,D_test_Random_Balanced_std,D_val_delta_Balanced,D_test_delta_Balanced,objective_gap_vs_random_D_val,objective_gap_vs_random_D_test,p_D_val_balanced_vs_random,p_D_val_objective_vs_random,p_D_test_balanced_vs_random,p_D_test_objective_vs_random,z_D_test_balanced_vs_random
0.02,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,1.0,0.28125,0.00625,1.0,0.25,0.013541666666666665,0.02111784888824301,0.275,0.23645833333333333,0.3915625,0.32875,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,11.197084257240677
0.01,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,1.0,0.28125,0.0109375,1.0,0.25,0.016666666666666666,0.02602082499332666,0.2703125,0.23333333333333334,0.38093749999999993,0.32145833333333335,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,8.96717661308488
0.005,80,0.16806722689075632,0.13839285714285715,0.6428571428571429,1.0,0.28125,0.009375,1.0,0.25,0.013541666666666665,0.021117848888243012,0.271875,0.23645833333333333,0.38218749999999996,0.3225,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,11.197084257240675
